"@title","Việt Nam"
"#00426","Use an advertising circular."
"#00427","Landlady"
"#00428","TV Talent"
"#00429","Magnate"
"#00430","Deli Cook"
"#00431","Designer"
"#00432","Farmer"
"#00433","Principal"
"#00434","Distribute an ad flyer."
"#00435","Healer"
"#00436","Musician"
"#00437","Doctor"
"#00438","Grocer"
"#00439","Adventurer"
"#00440","Cleaner"
"#00441","Sports Fan"
"#00442","Use movie theater ads."
"#00443","Model"
"#00444","First Lady"
"#00445","Noble"
"#00446","Supporter"
"#00447","Become a TV sponsor."
"#00448","Jockey"
"#00449","Boss..."
"#00450","Sunny Girl"
"#00451","Cosplayer"
"#00452","Create an overseas website."
"#00453","Cold Girl"
"#00454","=#00378"
"#00455","Newly Rich"
"#00456","King"
"#00457","Make overseas commercials."
"#00458","Traveler"
"#00459","TV Host"
"#00460","Sale Card"
"#00461","Hold a sale to get attention."
"#00462","Shelf Card"
"#00463","Fit more products on shelves."
"#00464","Restock Card"
"#00465","Restock shelves instantly."
"#00466","♪ Card"
"#00467","Temporarily increase ♪."
"#00468","Staff Rest Card"
"#00469","Refill stamina of all staff."
"#00470","Award Card"
"#00471","Boost staff satisfaction."
"#00472","Nap Card"
"#00473","Refill 1 employee's stamina."
"#00474","Aura Card"
"#00475","Trigger an employee's aura."
"#00476","Type Book 1"
"#00477","Change to Stamina growth type."
"#00478","=MID(#00476,1,-1)&'2'"
"#00479","Change to Brisk growth type."
"#00480","=MID(#00476,1,-1)&'3'"
"#00481","Change to Nimble growth type."
"#00482","=MID(#00476,1,-1)&'4'"
"#00483","Change to Genial growth type."
"#00484","=MID(#00476,1,-1)&'5'"
"#00485","Change to Food growth type."
"#00486","=MID(#00476,1,-1)&'6'"
"#00487","Change to Power growth type."
"#00488","=MID(#00476,1,-1)&'7'"
"#00489","Change to Speed growth type."
"#00490","=MID(#00476,1,-1)&'8'"
"#00491","Change to Deft growth type."
"#00492","=MID(#00476,1,-1)&'9'"
"#00493","Change to Service growth type."
"#00494","=MID(#00476,1,-1)&'10'"
"#00495","Change to Cooking growth type."
"#00496","=MID(#00476,1,-1)&'11'"
"#00497","Change to Endless growth type."
"#00498","=MID(#00476,1,-1)&'12'"
"#00499","Change to Swift growth type."
"#00500","=MID(#00476,1,-1)&'13'"
"#00501","Change to Precise growth type."
"#00502","=MID(#00476,1,-1)&'14'"
"#00503","Change to Smile growth type."
"#00504","=MID(#00476,1,-1)&'15'"
"#00505","Change to Gourmet growth type."
"#00506","Comfy Gloves"
"#00507","Boosts dexterity."
"#00508","Rubber Gloves"
"#00509","Metal Glasses"
"#00510","Fashion Glasses"
"#00511","Thick Glasses"
"#00512","Slippers"
"#00513","Boosts speed."
"#00514","Slip-Ons"
"#00515","Loafers"
"#00516","Running Shoes"
"#00517","Super Shoes"
"#00518","Bandana"
"#00519","Boosts stamina."
"#00520","Spirit Cap"
"#00521","Pocket watch"
"#00522","Running Shirt"
"#00523","Long Underwear"
"#00524","Service 101"
"#00525","Boosts service."
"#00526","=MID(#00524,1,-3)&'201'"
"#00527","=MID(#00524,1,-3)&'301'"
"#00528","Business Manners"
"#00529","Speechmaking"
"#00530","Cook's Apron"
"#00531","Boosts cooking."
"#00532","Frying Pan"
"#00533","Sharp Knife"
"#00534","Stock Pot"
"#00535","Tablet"
"#00536","Handkerchief"
"#00537","+Sat./stam./dex/cooking"
"#00538","Fancy Wallet"
"#00539","+Sat./stam./spd./serv."
"#00540","Cook Uniform"
"#00541","Boosts all stats."
"#00542","Kairobot Form"
"#00543","Sally Prin Form"
"#00544","Wairobot Form"
"#00545","Chimpan Z Form"
"#00546","Bearington Form"
"#00547","Ackbar Form"
"#00548","Usami Form"
"#00549","Pumpkin Form"
"#00550","Koala Form"
"#00551","Panda Form"
"#00552","Sweetener"
"#00553","Grain"
"#00554","Eggs & Milk"
"#00555","Salad Oil"
"#00556","Vegetables"
"#00557","Meat"
"#00558","Seasonings"
"#00559","Hot Spices"
"#00560","Seafood"
"#00561","Fruit Basket"
"#00562","Sticky Notes"
"#00563","Paper"
"#00564","Celeb Photo"
"#00565","Kid's Sketch"
"#00566","Old Notebook"
"#00567","Timetable"
"#00568","Gift Wrap"
"#00569","Parchment"
"#00570","Picture Book"
"#00571","Sports DVD"
"#00572","Antiques Guide"
"#00573","Game cartridge"
"#00574","CD Case"
"#00575","USB Drive"
"#00576","E-money Card"
"#00577","Wi-Fi Card"
"#00578","Soft Cloth"
"#00579","Strong Cloth"
"#00580","Bright Cloth"
"#00581","Cool Cloth"
"#00582","Leather"
"#00583","Denim"
"#00584","Rare Metals"
"#00585","Waterproofing"
"#00586","Atlas"
"#00587","Travel Book"
"#00588","History Info"
"#00589","Ancient Info"
"#00590","Future Info"
"#00591","Mystery Drug"
"#00592","Mystery Patch"
"#00593","Mystery Salve"
"#00594","Recipe Book"
"#00595","Asian Cooking"
"#00596","Street Cooking"
"#00597","Adv. Sewing"
"#00598","Adv. Baking"
"#00599","Game Lore"
"#00600","Book Sales"
"#00601","Bread History"
"#00602","Style Journal"
"#00603","Bakery Journal"
"#00604","Juice Journal"
"#00605","Museum Journal"
"#00606","Ramen Journal"
"#00607","Street Journal"
"#00608","<co=0070c0>★★Biz Builder Delux★★</co><br>Manage your dream store!<br>   In this simulation game, you manage a store and try to make it the best in the country! You'll even find yourself giving advice to the mayor as you do your best to help your store and the town grow."
,"▼Game Flow<br>First, hire some staff and place furnishings in your store to get ready for the grand opening. Research the products you're selling to raise their prices--and your profits!"
,"▼Your Store's Reputation<br>As you place different furnishings and advertise your store, its reputation will increase, attracting more customers. Remember to refer to the Management Guide for tips on what you should focus on."
,"▼Store Furnishings<br>""Appeal"" helps to attract customers, while ""quality"" helps to satisfy them, making it easier to increase their ""satisfaction"" level. Try to place furnishings so their ♪ come in contact with customers."
,"▼Staff Stats<br>Stamina: Consumed when working<br>Speed: Increases movement speed, etc.<br>Dexterity: Boosts restocking and chances to find treasure<br>Service: Makes it easier to satisfy customers<br>Prep: Improves cooking and research"
,"▼Staff Growth Types<br>Staff abilities increase depending on their growth type and number of stars. There are items that allow you to change growth type according to your needs, so you can select a type that will boost ""prep,"" ""stamina"" and so on."
,"▼Furnishing Combos<br>Placing furnishings of the same type next to one another can form a combo, boosting all of their stats. The more furnishings in a combo, the more effective it will be."
,"▼♪ Effects<br>Baskets: Boosts desire to shop<br>Food: Boosts appetite<br>♪: Boosts desire to view<br>★: Slows movement<br>Lightning: Stops movement<br>?: Returns to entrance"
,"▼Your Customers<br>When customers spend a lot of money and are exposed to many ♪, the gauge at their feet will go down, indicating that they are becoming more satisfied. When it reaches 0, they will sometimes leave a present or heart in your store."
,"▼Customer Desire Gauge<br>The arrow gauge displayed for some customers acts as a barometer of their desire. If they are exposed to many ♪, the gauge will fill up and they will buy a lot of products before leaving."
,"▼Customer Smile Icon<br>Customers who are exposed to many ♪ will have a smile icon displayed over their head, increasing their desire to buy things. They also get XP when checking out, which can increase future purchases."
,"▼Movement of Passersby<br>In some rare cases, an energetic customer may run very fast. And people who ride bikes can be attracted to your store if you install a bike rack."
,"▼Customer Groups<br>In some cases, you may get groups of customers visiting your store. These have a lot of money and are hard to satisfy, but if you manage to do so, they may leave you many hearts or other bonuses."
,"▼Auras<br>When your staff's satisfaction increases, they may trigger an aura, temporarily boosting their stats. When customers are exposed to many ♪ they may also get an aura, increasing the amount they purchase."
,"▼Hearts & Gift Boxes<br>When customers use your store until their ""wallet"" is empty, they will become satisfied and may leave behind items like hearts or presents. Some kinds of stores make this easier than others."
,"▼Management Goods<br>These goods can have effects like increasing shelf capacity or allowing you to hold a sale, and can really affect the management of your store. You'll want to use as many as you can."
,"▼Research<br>Research uses upgrade items and is performed when the store closes at the end of the month. This can help boost your products' prices. And depending on the items you choose, you may discover new products!"
,"▼Powering Up<br>You can also use upgrade items to power up the stats of your staff or their equipment. If you place them in the cart in the order L⇒M⇒S, you can get a bonus. If you increase the size of your cart, you can also get more XP."
,"▼Food Preparation 1<br>Stores that serve food must prepare the food before it can be served to customers. Placing cookware in your back room can help make food preparation easier."
,"▼Food Preparation 2<br>Bakeries must first prepare the products that they put on their shelves. Make sure you have the required cookware in your back room, and that you have the materials you need in your depots."
,"▼Material Depots<br>You need materials to create products, and you need to place depots to store those materials. In some cases, each product may require a different material. Depots are filled each month in the early morning and around 3PM."
,"▼Garbage<br>In some cases, customers will leave garbage behind. Other customers will tend to avoid garbage, so you will want to make sure you have enough staff assigned to clean it up as soon as possible."
,"▼Store Types<br>As you play through the game, you will be able to choose from a variety of store types, such as restaurants or retail. You can choose a new type of store after buying the rights open it."
,"▼Store Characteristics<br>You'll find it easier to get presents when running a restaurant, while it's easier to increase sales at a retail store. You may want to choose which type of store to open depending on the circumstances."
,"▼Cash Registers<br>Retail stores and restaurants have cash registers that customers can use to gain XP. Street stands have no registers, and museums have admission fees which are paid up front."
,"▼The Town<br>The town develops automatically. It's influenced by the mayor's policies, your store, and nearby environment. The types of buildings that are built affect the types of customers who visit your store."
,"▼Consulting the Mayor<br>You can propose to the mayor how to develop the town. This can help the area around your store develop the way you like. If you have extra hearts, be sure to give it a try."
,"▼Elections<br>After around 4 years have passed, a mayoral election will be held. If one of your staff gets elected, you will get even greater connections at the town hall, allowing you to introduce special facilities."
,"▼Lucky Roulette<br>Each time your reputation goes up by 30 points, an event will be triggered. In some cases, this can cause many customers to visit your store!"
,"▼Reputation Rank Ups<br>Each time your reputation increases by 100 points, you will get a special prize. It's easiest to increase your reputation by following the hints in the Management Guide."
,"▼Rival Stores<br>As time passes, you may find that a rival store has moved into town. You will battle your rival, using your sales to chip away at each other's vitality until one of you is defeated. Your furnishings and products affect your store's max vitality."
,"▼New Store Quotas<br>When you open a new store in an area with high land prices, you will be given a sales quota. If you don't meet that amount of sales in your first year, the store will have to close."
,"▼Running Multiple Stores<br>Stores: Up to 3<br>Auto-Pilot Stores: Up to 10<br>Managers: Up to 15<br>Part-timers: Up to 33<br>Do your best to manage your stores with these limits in mind."
,"▼Contests<br>Contests are held in the 4th and 10th months of each year. Staff contests are decided by your staff's stats. Product contests hinge on the amount of product research you have done."
,"▼Annual Reports<br>At the end of each year, you will receive a report on your performance for the year. Your staff's performance will be scored with points. You can also give badges to staff members who have worked particularly hard."
,"▼Replaying the Game<br>At the end of each year, replay data will be saved that can be used to give you a leg up when starting a new game. After the data has been created, go to the title screen and select ""New Game"" to start a new game while carrying forward some of what you achieved in the last play through."
,"▼Game Ending<br>This game has no ending. You can manage your store for as many years as you like."
"#00609","=#00552"
"#00610","=#00363"
"#00611","Fancy Food"
"#00612","Product A"
"#00613","Product B"
"#00614","Game"
"#00615","=#00225"
"#00616","Magazine"
"#00617","Book"
"#00618","Clothes"
"#00619","Fancy Clothes"
"#00620","Souvenir"
"#00621","Rare B"
"#00622","Tax Increase"
"#00623","Ask for a tax increase."
"#00624","Next year's tax income up <0>%. Customers' wallets down <1>%. Tax income goes to town development."
"#00625","Tax Break"
"#00626","Ask for a tax break."
"#00627","Next year's tax income down <0>%. Customers' wallets up <1>%. Wallets affects purchase amounts."
"#00628","Build Houses"
"#00629","Ask for more houses in town."
"#00630","Build <1> immediately. Build chance for housing-type facilities up from <2>% to <3>%!"
"#00631","Build Factories"
"#00632","Ask that factories be built."
"#00633","Build <1> immediately. Build chance for factory-type facilities up from <2>% to <3>%!"
"#00634","Build Businesses"
"#00635","Ask that businesses be built."
"#00636","Build <1> immediately. Build chance for business-type facilities up from <2>% to <3>%!"
"#00637","Build Stores"
"#00638","Ask that stores be built."
"#00639","Build <1> immediately. Build chance for retail facilities up from <2>% to <3>%!"
"#00640","Build Facilities"
"#00641","Ask for public facilities."
"#00642","Build <1> immediately. Build chance for public facilities up from <2>% to <3>%!"
"#00643","Conserve Nature"
"#00644","Ask for nature conservation."
"#00645","Increases nature by <1>. Chances of nature increasing go from <2>% to <3>%!"
"#00646","Build Parks"
"#00647","Ask for more parks in town."
"#00648","Build <1> immediately. Chances of parks being built go from <2>% to <3>%!"
"#00649","Fewer Houses"
"#00650","Ask for fewer houses."
"#00651","Chances of new house construction go from <0>% to <1>%."
"#00652","Fewer Factories"
"#00653","Ask for fewer factories."
"#00654","Chances of new factory construction go from <0>% to <1>%."
"#00655","Fewer Businesses"
"#00656","Ask for fewer businesses."
"#00657","Chances of new business construction go from <0>% to <1>%."
"#00658","Fewer Stores"
"#00659","Ask for fewer stores."
"#00660","Chances of new store construction go from <0>% to <1>%."
"#00661","Fewer Facilities"
"#00662","Ask for fewer facilities."
"#00663","Chances of new public facility construction go from <0>% to <1>%."
"#00664","Less Nature"
"#00665","Ask for less nature."
"#00666","Chances of nature increasing go from <0>% to <1>%."
"#00667","Fewer Parks"
"#00668","Request fewer parks."
"#00669","Chances of new park construction go from <0>% to <1>%."
"#00670","Population Increase"
"#00671","A plan to boost population."
"#00672","For a limited time, town population will increase more easily."
"#00673","Higher Land Prices"
"#00674","A plan to boost land prices."
"#00675","For a limited time, land prices around your store will go up more easily."
"#00676","Economic Stimulus"
"#00677","Give people more spending money."
"#00678","For a limited time, wallets are increased by <0>%. This affects how much is purchased."
"#00679","Counseling Service"
"#00680","Cheers up residents for a bit."
"#00681","For a limited time, customers will spend more freely and use stores more often."
"#00682","Faster Construction"
"#00683","Speed up town construction."
"#00684","Boosts the speed of facility construction by <0> times."
"#00685","Lv. 3 Housing Permit"
"#00686","Boosts quality of housing."
"#00687","Makes it easier for housing facilities to reach Lv. 3."
"#00688","Lv. 4 Housing Permit"
"#00689","Makes it easier for housing facilities to reach Lv. 4."
"#00690","Lv. 5 Housing Permit"
"#00691","Makes it easier for housing facilities to reach Lv. 5."
"#00692","Lv. 3 Factory Permit"
"#00693","Boosts quality of factories."
"#00694","Makes it easier for factory facilities to reach Lv. 3."
"#00695","Lv. 4 Factory Permit"
"#00696","Makes it easier for factory facilities to reach Lv. 4."
"#00697","Lv. 5 Factory Permit"
"#00698","Makes it easier for factory facilities to reach Lv. 5."
"#00699","Lv. 3 Business Permit"
"#00700","Boosts quality of businesses."
"#00701","Makes it easier for business facilities to reach Lv. 3."
"#00702","Lv. 4 Business Permit"
"#00703","Makes it easier for business facilities to reach Lv. 4."
"#00704","Lv. 5 Business Permit"
"#00705","Makes it easier for business facilities to reach Lv. 5."
"#00706","Lv. 3 Store Permit"
"#00707","Boosts quality of stores."
"#00708","Makes it easier for store facilities to reach Lv. 3."
"#00709","Lv. 4 Store Permit"
"#00710","Makes it easier for store facilities to reach Lv. 4."
"#00711","Lv. 5 Store Permit"
"#00712","Makes it easier for store facilities to reach Lv. 5."
"#00713","Fishing Camp"
"#00714","Consider a fishing pond."
"#00715","Propose a facility that can be introduced to town."
"#00716","Strike It Rich"
"#00717","Consider a lottery."
"#00718","Silver Screen"
"#00719","Consider a cinema."
"#00720","Holy Ground"
"#00721","Consider a temple."
"#00722","Fit & Healthy"
"#00723","Consider a sports field."
"#00724","Checking In?"
"#00725","Consider a hotel."
"#00726","Bank On It"
"#00727","Consider a bank."
"#00728","Tourist Trap"
"#00729","Consider a castle."
"#00730","Top Tower"
"#00731","Consider a radio tower."
"#00732","World Traveler"
"#00733","Consider an airport."
"#00734","Zoo Keeper"
"#00735","Consider a zoo."
"#00736","Big Attraction"
"#00737","Consider an amusement park."
"#00738","Teacher's Pet"
"#00739","Consider a school."
"#00740","Sportlympics"
"#00741","=#00740"
"#00742","Consider Sportlympics."
"#00743","Host the Sportlympics. Chance of success: <1>%. Requires a sports field."
"#00744","Karate Tournament"
"#00745","=#00744"
"#00746","Consider a karate tournament."
"#00747","Host a karate tournament. Chance of success: <1>%. Requires an international airport."
"#00748","Pop Concert"
"#00749","=#00748"
"#00750","Consider a pop concert."
"#00751","Host a Sailor Twift concert. Chance of success: <1>%. Requires a castle."
"#00752","Soccer Tournament"
"#00753","=#00752"
"#00754","Consider a soccer tournament."
"#00755","Host a world soccer tournament. Chance of success: <1>%. Requires a sports field."
"#00756","Baseball Tournament"
"#00757","=#00756"
"#00758","Consider a baseball tournament."
"#00759","Host a baseball tournament. Chance of success: <1>%. Requires an international airport."
"#00760","Cosplay Convention"
"#00761","=#00760"
"#00762","Consider a cosplay convention."
"#00763","Host a cosplay convention. Chance of success: <1>%. Requires a sports field."
"#00764","Full Refill Card Set"
